"Author","Year","Lat","Lon","MAT","MAP","Soil.order","MineralType","Top.depth","Bottom.depth","Vegetation","frc_method","Clay","Silt","Sand","SiltClayPercent","Bulk.C","SiltClayC","POM_C","source"
"Amelung",1998,52.92,-105.8,0.9,456,"Mollisols","HM",0,10,"Grassland","Particle_Size",29,22,49,51,58.2,39.88,13.1168,"Synthesis"
"Amelung",1998,52.19,-106.17,1.6,343,"Mollisols","HM",0,10,"Grassland","Particle_Size",16,19,65,35,42.3,27.63,11.0297,"Synthesis"
"Amelung",1998,50.17,-107.5,3.2,380,"Mollisols","HM",0,10,"Grassland","Particle_Size",22,27,51,49,42.3,27.01,7.5469,"Synthesis"
"Amelung",1998,45.35,-95.55,6.1,565,"Mollisols","HM",0,10,"Grassland","Particle_Size",34,31,35,65,64,49.23,10.9116,"Synthesis"
"Amelung",1998,46.5,-100.54,5,419,"Mollisols","HM",0,10,"Grassland","Particle_Size",21,20,59,41,31.6,22.64,7.8396,"Synthesis"
"Amelung",1998,48.33,-109.41,6.1,300,"Mollisols","HM",0,10,"Grassland","Particle_Size",17,17,66,34,16.4,9.92,4.7943,"Synthesis"
"Amelung",1998,44.5,-105.51,7.2,400,"Aridisols","HM",0,10,"Grassland","Particle_Size",24,34,42,58,18.6,12.57,3.3882,"Synthesis"
"Amelung",1998,41.22,-104.63,8.9,400,"Mollisols","HM",0,10,"Grassland","Particle_Size",14,12,74,26,8.1,6.99,1.7353,"Synthesis"
"Amelung",1998,41.43,-105.7,9,400,"Mollisols","HM",0,10,"Grassland","Particle_Size",12,8,80,20,12.3,7.41,3.7291,"Synthesis"
"Amelung",1998,40.1,-103.13,10.8,375,"Mollisols","HM",0,10,"Grassland","Particle_Size",18,15,67,33,16.9,9.92,5.2655,"Synthesis"
"Amelung",1998,40.26,-99.22,11.6,666,"Mollisols","HM",0,10,"Grassland","Particle_Size",24,23,53,47,29.9,23.12,9.3886,"Synthesis"
"Amelung",1998,38.53,-99.2,12.2,573,"Mollisols","HM",0,10,"Grassland","Particle_Size",28,17,55,45,27.5,18.69,6.965,"Synthesis"
"Amelung",1998,40.48,-96.42,10.9,792,"Mollisols","HM",0,10,"Grassland","Particle_Size",32,28,40,60,40.5,29.39,7.785,"Synthesis"
"Amelung",1998,39.11,-96.35,12.4,791,"Mollisols","HM",0,10,"Grassland","Particle_Size",33,27,40,60,30.7,24.24,8.6536,"Synthesis"
"Amelung",1998,37.2,-95.16,14.2,1000,"Alfisols","HM",0,10,"Grassland","Particle_Size",18,36,46,54,26.8,19.84,6.1404,"Synthesis"
"Amelung",1998,32.15,-101.28,17.1,466,"Alfisols","HM",0,10,"Grassland","Particle_Size",21,7,72,28,11.3,7.51,3.1572,"Synthesis"
"Amelung",1998,33.06,-97.21,19.4,865,"Vertisols","HM",0,10,"Grassland","Particle_Size",45,32,23,77,59.7,41.76,7.1408,"Synthesis"
"Amelung",1998,29.42,-96.33,20,1030,"Mollisols","HM",0,10,"Grassland","Particle_Size",25,14,61,39,23.7,15.12,4.9984,"Synthesis"
"Amelung",1998,30.05,-94.06,20.3,1308,"Mollisols","HM",0,10,"Grassland","Particle_Size",26,20,54,46,24.7,16.06,6.313,"Synthesis"
"Amelung",1998,27.45,-98.04,22.2,700,"Mollisols","HM",0,10,"Grassland","Particle_Size",26,7,67,33,16,12.56,6.6429,"Synthesis"
"Amelung",1998,27.57,-98.54,23.4,440,"Aridisols","HM",0,10,"Grassland","Particle_Size",28,22,50,50,22.5,22.22,2.6826,"Synthesis"
"Anderson",1981,50,-103.5,3,450,"Mollisols","HM",0,10,"Cropland","Particle_Size",37,34,29,71,17.1,16.04,0.64,"Synthesis"
"Anderson",1981,50,-103.5,3,450,"Mollisols","HM",0,10,"Cropland","Particle_Size",27,35,38,62,33.2,30.7,1.26,"Synthesis"
"Angers",1993,NA,NA,NA,NA,"","",0,NA,"Cropland","Particle_Size",23,50,27,73,27,17.07,9.827586207,"Synthesis"
"Angers",1993,NA,NA,NA,NA,"","",0,NA,"Cropland","Particle_Size",23,50,27,73,27.5,17.12,9.90990991,"Synthesis"
"Angers",1993,NA,NA,NA,NA,"","",0,NA,"Cropland","Particle_Size",23,50,27,73,25.8,13.98,10.42372881,"Synthesis"
"Angers",1991,NA,NA,NA,NA,"Spodosols","HM",0,15,"Cropland","Particle_Size",12,53,35,65,27.1,23.27,6.545,"Synthesis"
"Angers",1991,NA,NA,NA,NA,"Spodosols","HM",0,15,"Cropland","Particle_Size",13,56,31,69,35.2,29.87,8.308,"Synthesis"
"Angers",1991,NA,NA,NA,NA,"Spodosols","HM",0,15,"Cropland","Particle_Size",12,55,33,67,39.5,29.68,7.689,"Synthesis"
"Balabane",2004,49,2,10,640,"Alfisols","HM",0,15,"Fallow","Particle_Size",16,23,61,39,4.7,3.91,NA,"Synthesis"
"Balabane",2004,49,2,10,640,"Alfisols","HM",0,15,"Cropland","Particle_Size",17,22,61,39,11,8.73,NA,"Synthesis"
"Balabane",2004,49,2,10,640,"Alfisols","HM",0,15,"Fallow","Particle_Size",16,58,26,74,4.7,4.22,NA,"Synthesis"
"Balabane",2004,49,2,10,640,"Alfisols","HM",0,15,"Cropland","Particle_Size",17,50,33,67,11,9.26,NA,"Synthesis"
"Balesdent",1998,43,0.5,13,1200,"Inceptisols","HM",0,30,"Temperate Forest","Particle_Size",21,40,39,61,52.6,47.4,1.90248,"Synthesis"
"Balesdent",1998,43,0.5,13,1200,"Inceptisols","HM",0,26,"Cropland","Particle_Size",19,43,38,62,30.9,25.8,1.6841,"Synthesis"
"Balesdent",1998,43,0.5,13,1200,"Inceptisols","HM",0,26,"Cropland","Particle_Size",18,40,42,58,17.8,14.08,1.22536,"Synthesis"
"Balesdent",1998,43,0.5,13,1200,"Inceptisols","HM",0,30,"Temperate Forest","Particle_Size",21,67,12,88,52.6,48.18,1.11648,"Synthesis"
"Balesdent",1998,43,0.5,13,1200,"Inceptisols","HM",0,26,"Cropland","Particle_Size",19,72,9,91,30.9,26.26,1.22122,"Synthesis"
