study,vegetation,management,management_detailed,land_use_detailed,soil_order,time,pro_cs,saturation_percent,rate_stock
Akala and Lal 2001,pasture,managed,minesoils with topsoil application,pasture,Entisols,5,90,4.501519965,2.04
Akala and Lal 2001,pasture,managed,minesoils with topsoil application,pasture,Entisols,5,90,6.321317829,2.74
Akala and Lal 2001,pasture,managed,minesoils with topsoil application,pasture,Entisols,5,90,8.479962875,2.8
Akala and Lal 2001,pasture,managed,minesoils with topsoil application,pasture,Entisols,5,90,11.37060156,2.5
Akala and Lal 2001,pasture,managed,minesoils with topsoil application,pasture,Entisols,5,90,15.84729827,5.16
Akala and Lal 2001,forest,managed,minesoils with topsoil application,afforestation,Entisols,4,90,5.804287893,-0.7
Akala and Lal 2001,forest,managed,minesoils with topsoil application,afforestation,Entisols,6,90,4.567627659,1.966666667
Akala and Lal 2001,forest,managed,minesoils with topsoil application,afforestation,Entisols,5,90,7.451627242,2.94
Akala and Lal 2001,forest,managed,minesoils with topsoil application,afforestation,Entisols,6,90,12.67209302,2.816666667
Alcántara et al. 2016,cropland,managed,improved management,deep ploughing,Alfisols,48,95,5.273255814,0.422916667
Babujia et al. 2010,cropland,managed,improved management,no till,Oxisols,20,79.2,38.04685074,1.133367728
Black et al. 2009,grassland to forest,managed,land use change,grassland to sitka spruce forest,Inceptisols/Mollisols,9,72.5,38.99919808,2.244444444
Black et al. 2009,grassland to forest,managed,land use change,grassland to sitka spruce forest,Inceptisols/Mollisols,21,77,43.1615071,-0.623809524
Black et al. 2009,grassland to forest,managed,land use change,grassland to sitka spruce forest,Inceptisols/Mollisols,15,83,37.93429532,-0.146666667
Boddey et al. 2010,cropland,managed,improved management,no till,Oxisols,15,83,38.05883059,0.606666667
Bowden et al. 2014,forest,managed,DIRT,DIRT double litter,Alfisols,19,25,86.74304352,0.220215789
Brown and Lugo 1990,cropland to forest,unmanaged,land use change,crops to secondary forest,Ultisols,22.5,94.5,10.90627362,0.5256
Brown and Lugo 1990,cropland to forest,unmanaged,land use change,crops to secondary forest,Ultisols,42.5,89.1,11.5672599,0.718023529
Brown and Lugo 1990,cropland to forest,managed,land use change,crops to pine,Ultisols,10,94.5,10.85474931,1.2866
Brown and Lugo 1990,cropland to forest,managed,land use change,crops to mahogany plantation,Entisols,35,83.95,28.65527654,0.911428571
Brown and Lugo 1990,cropland to forest,managed,land use change,secondary forest,Entisols,50,83.95,23.68311703,0.882
Carvalho et al. 2010,cropland,managed,improved management,crop-livestock rotation,Oxisols,5,82.65,42.45142842,1.6
Carvalho et al. 2010,cropland,managed,improved management,crop-livestock rotation,Oxisols,8,81.25,59.37224375,1.5125
Chatterjee et al. 2009,grassland,managed,minesoils with topsoil application,grassland,Alfisols,8,60.5,5.629086935,3.671775
Chatterjee et al. 2009,grassland,managed,minesoils with topsoil application,grassland,Entisols,21,75,18.80761306,0.782785714
